id,title,release_date,original_language,vote_average,vote_count
238,The Godfather,1972-03-14,en,8.7,18427
278,The Shawshank Redemption,1994-09-23,en,8.7,24348
240,The Godfather Part II,1974-12-20,en,8.6,11126
424,Schindler's List,1993-12-15,en,8.6,14404
19404,Dilwale Dulhania Le Jayenge,1995-10-20,hi,8.6,4215
129,Spirited Away,2001-07-20,ja,8.5,14711
389,12 Angry Men,1957-04-10,en,8.5,7517
372058,Your Name.,2016-08-26,ja,8.5,10146
496243,Parasite,2019-05-30,ko,8.5,16188
155,The Dark Knight,2008-07-14,en,8.5,30297
497,The Green Mile,1999-12-10,en,8.5,15743
680,Pulp Fiction,1994-09-10,en,8.5,25650
13,Forrest Gump,1994-06-23,en,8.5,25151
122,The Lord of the Rings: The Return of the King,2003-12-01,en,8.5,22026
429,"The Good, the Bad and the Ugly",1966-12-23,it,8.5,7625
930094,"Red, White & Royal Blue",2023-07-27,en,8.5,263
769,GoodFellas,1990-09-12,en,8.5,11563
569094,Spider-Man: Across the Spider-Verse,2023-05-31,en,8.5,3259
11216,Cinema Paradiso,1988-11-17,it,8.5,3888
637,Life Is Beautiful,1997-12-20,it,8.5,12103
